0,-77.2,1.9,2.56,1.03,0,1
1,-63.5,2.73,2.79,1.32,0,0.5
2,-43.7,2.45,4.57,0.67,0,8
3,-43.3,2.21,4.51,0.64,0,8
4,-43.6,1.52,4.51,0.68,0,8
5,-43.8,1.91,4.52,0.77,0,8
6,-44.3,2.09,4.51,0.67,0,8
7,-44.5,2.46,4.49,0.66,0,8
8,-44.6,2.25,4.4,0.66,0,8
9,-44.2,2.4,4.45,0.71,0,8
10,-44,2.25,4.33,0.77,0,8
11,-44.2,1.87,4.47,0.73,0,8
12,-44.4,1.73,4.44,0.71,0,8
13,-44.2,2.18,4.54,0.65,0,8
14,-43.3,2.14,4.56,0.63,0,8
15,-44,2.21,4.5,0.73,0,8
16,-44,2.1,4.46,0.72,0,8
17,-44.7,2.62,4.53,0.72,0,8
18,-44.7,2.03,4.51,0.69,0,8
19,-44.8,1.29,4.36,0.81,0,8
20,-45.6,1.7,4.45,0.85,0,8
21,-45.5,2,4.46,0.75,0,8
22,-45.3,1.88,4.46,0.81,0,8
23,-45.5,2.05,4.59,0.68,0,8
24,-45.1,2.01,4.53,0.76,0,8
25,-45.4,2.13,4.41,0.84,0,8
26,-44.9,2.11,4.45,0.78,0,8
27,-45.4,1.27,4.28,0.84,0,8
28,-46.3,2.27,4.35,0.71,0,8
29,-46.9,2.09,4.35,0.83,0,6.75
30,-46.5,2.27,4.28,0.82,0,6.44
31,-46.6,2.62,4.29,0.73,0,6.94
32,-47.9,1.98,4.26,0.78,0,8
33,-46.8,1.52,4.2,0.78,0,8
34,-45.8,1.56,4.28,0.64,0,8
35,-46.7,2.14,4.15,0.67,0,8
36,-47,2.24,4.18,0.66,0,8
37,-45.7,2.01,4.24,0.64,0,8
38,-45.3,2.18,4.24,0.73,0,8
39,-46.3,1.77,4.21,0.72,0,8
40,-47.7,1.75,4.16,0.7,0,8
41,-47.3,1.64,4.17,0.81,0,8
42,-47.8,1.27,4.27,0.74,0,8
43,-48.6,2.39,4.11,0.87,0,8
44,-48.2,2.17,4.11,0.92,0,8
45,-48.3,2.1,4.12,0.8,0,8
46,-48.3,2.37,4.15,0.87,0,8
47,-49.3,1.6,4.05,0.81,0,8
48,-49.5,1.8,3.99,0.78,0,8
49,-49.4,1.19,4.08,0.78,0,8
50,-49.8,1.5,4.05,0.8,0,8
51,-49.9,2.06,4,0.95,0,8
52,-49.5,2.26,4.02,0.77,0,8
53,-49.3,2.3,3.92,0.86,0,8
54,-49.7,2.34,4.03,0.73,0,8
55,-49.7,1.89,4.07,0.76,0,7.94
56,-50.6,1.27,3.7,1.01,0,7.63
57,-51.2,1.62,3.95,0.82,0,7.31
58,-51.8,1.97,3.83,0.95,0,6.63
59,-52.3,2.2,3.71,0.95,0,6.13
60,-51.8,2.51,3.72,0.94,0,4.63
61,-51.9,2.28,3.7,0.95,0,3.5
62,-52.5,1.56,3.82,0.87,0,2.56
63,-54,2.23,3.52,1.12,0,1.5
64,-56.4,1.88,3.49,1.29,0,0.75
65,-58.5,1.42,3.23,1.47,0,6.31
66,-57.7,2.06,3.1,1.54,0,6.44
67,-57.4,3.59,3.04,1.59,0,4.81
68,-58.2,1.5,3.08,1.5,0,4.94
69,-57.7,2.42,3.11,1.56,0,2.69
70,-57,1.27,3.09,1.57,0,3.94
71,-57.1,1.37,3.45,1.38,0,3.69
72,-56.8,1.54,3.32,1.47,0,5
73,-56.6,1.81,3.28,1.52,0,7.13
74,-55.4,1.48,3.3,1.47,0,6.44
75,-54.2,1.84,3.7,1.65,0,4.13
76,-52.5,2.08,4.14,1.46,0,7.56
77,-49.2,1.84,4.35,1.21,0,6.94
78,-47.4,1.66,4.35,1.03,0,6.63
79,-45.2,1.59,4.39,1.07,0,5.56
80,-45.3,1.52,4.5,1.03,0,7.38
81,-44.2,3.03,4.77,1.07,0,4.88
82,-42.7,2.35,4.62,0.99,0,7.69
83,-43.1,2.66,4.45,0.93,0,7.94
84,-42.6,2.45,4.54,0.92,0,7.94
85,-38.5,2.6,4.35,0.93,0,7.56
86,-34.9,3.35,4.46,0.66,0,6.5
87,-36.3,3.05,4.5,0.71,0,7.44
88,-36.6,2.52,4.49,0.82,0,7.69
89,-34.8,3.11,4.51,0.71,0,7.5
90,-32.7,3.48,4.43,0.73,0,7.13
91,-32.3,3.44,4.53,0.7,0,5.38
92,-33.1,3.51,4.36,0.77,0,5
93,-33.6,3.48,4.41,0.7,0,4.56
94,-36.6,2.86,4.49,0.77,0,4.56
95,-39.4,2.86,4.21,0.89,0,3.88
96,-41.6,3.48,4.31,0.99,0,2.81
97,-47.1,2.79,4.13,1.17,0,1.88
98,-49.7,2.47,4.19,1.29,0,1
99,-43.2,2.85,5.06,1.02,0,2.44
100,-36.2,1.69,4.94,0.9,0,8
101,-35.1,2.09,4.79,0.94,0,8
102,-35.5,2.39,4.82,0.91,0,8
103,-34.3,2.16,4.94,1.09,0,8
104,-34.1,2.59,4.66,1.21,0,8
105,-33.9,1.85,4.92,1.12,0,8
106,-36.4,1.77,4.82,1.03,0,8
107,-35.2,1.75,4.92,1.01,0,8
108,-34.1,1.62,4.55,1.14,0,8
109,-32.7,2.28,4.53,1.16,0,8
110,-30.7,2.68,4.14,1.18,0,8
111,-29.6,2.72,3.83,1.3,0,8
112,-29.1,2.68,4.21,1.3,0,8
113,-28.6,2.68,4.38,1.36,0,8
114,-27.3,2.64,4.63,1.15,0,8
115,-27.5,2.68,4.43,1.26,0,8
116,-26.8,2.72,4,1.34,0.25,8
117,-27.1,2.72,3.84,1.26,0.5,8
118,-27.3,2.68,3.86,1.28,0.25,7.69
119,-27.7,2.72,4.49,1.26,0,8
120,-27.5,2.75,4.5,1.19,0,6.63
121,-26.7,2.72,4.7,1.42,0,6.25
122,-25.4,2.59,5.11,1.31,0,8
123,-23.9,2.72,5.17,1.38,0,7.56
124,-19.9,2.79,5.88,1.52,0,5
125,-19.3,2.75,6.49,1.39,0,3.44
126,-17.7,2.72,6.22,1.13,0,2.75
127,-21.1,2.72,5.78,1.16,0,5.19
128,-27.2,2.72,5.05,1.22,0,8
129,-27.7,2.75,5.39,1.01,0,8
130,-27.9,2.72,5.39,1.02,0,8
131,-25.5,2.72,5.4,0.93,0,8
132,-22.1,2.81,5.37,1.03,0,8
133,-18.6,2.72,4.91,1.32,0,7.81
134,-18.2,2.59,4.73,1.41,0,6.19
135,-16.8,2.72,4.35,1.45,0,6.19
136,-20,2.72,4.69,1.31,0,6.75
137,-24.1,2.72,5.12,1.18,0,5.38
138,-29.5,2.72,4.9,1.39,0,5.19
139,-32.1,2.72,4.79,1.4,0,5.75
140,-34,2.39,5.07,1.26,0,4.44
141,-37,1.77,4.99,1.48,0,5.13
